"ID","ADDRESS","CITY","STATE","ZIP","ListPrice","BEDS","BATHS","LOCATION","SQFT","LotSize","YearBuilt","ParkingSpots","HasGarage","DOM","LastSaleDate","SoldPrev","Realty","LATITUDE","LONGITUDE","ShortSale"
4419254,"1170 Fairmount Ave","St. Paul","MN",55105,675000,2,"2,25","Summit Hill",3130,6098,1925,3,"Garage",107,13/11/2009,"Y","RealEstateOpens.com LLC","44,936527","-93,149643","N"
4427266,"1178 Bradley St","St. Paul","MN",55130,160000,3,"1,75","Payne-Phalen",1894,6534,1953,1,"Garage",77,,"N","Unity Realty, Inc.","44,976803","-93,078262","N"
4439252,"1183 Jessie St","St. Paul","MN",55130,120000,3,"1,25","Payne-Phalen",1183,4791,1939,1,"Garage",13,,"N","Success Realty","44,976944","-93,077713","N"
4396539,"1189 Summit Ave","St. Paul","MN",55105,749900,3,"2,75","Merriam Park/Lexington-Hamline",3589,,1890,4,"Garage",137,,"N","RE/MAX Results","44,942009","-93,150284","N"
4411154,"1195 Edmund Ave","St. Paul","MN",55104,139900,3,"1,75","Hamline-Midway",1201,4791,1917,2,"Garage",119,,"N","RE/MAX Results","44,95871","-93,150612","N"
4435797,"1197 Mclean Ave","St. Paul","MN",55106,129900,3,"1,25","Dayton's Bluff",1600,6098,1941,0,"No Garage",36,26/6/2013,"Y","Real Estate Trader of Minnesota, Inc.","44,950699","-93,050262","N"
4425509,"1199 Colette Pl","St. Paul","MN",55116,179900,3,1,"Highland",864,6098,1953,2,"Garage",86,,"N","Keller Williams Integrity RE","44,905338","-93,183754","N"
4371982,"1201 Summit Ave","St. Paul","MN",55105,375000,3,"1,75","Merriam Park/Lexington-Hamline",1980,9147,1990,2,"Garage",137,,"N","Coldwell Banker Burnet","44,942013","-93,150826","N"
4431465,"1202 Niles Ave","St. Paul","MN",55116,329900,3,"2,75","Highland",2478,6098,1937,2,"Garage",57,,"N","Keller Williams Integrity RE","44,924892","-93,15094","N"
4403953,"1202 W 53rd St","Minneapolis","MN",55419,519900,3,"2,5","Lynnhurst",2973,6098,1923,4,"Garage",137,,"N","RE/MAX Specialists","44,907166","-93,29483","N"
4383312,"121 Virginia St","St. Paul","MN",55102,1375000,5,"4,25","Summit-University",4934,14810,1910,2,"Garage",137,,"N","Coldwell Banker Burnet","44,944958","-93,115173","N"
